listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,floor,kitchen_type,building_age_years,agency,image_url,url,fetched_at,enriched_at,estate,building_area_sqft,address,description,latitude,longitude,rent_includes,subletting,cooking_method,primary_school_net,secondary_school_net,published_at,updated_at,expires_at,image_urls,sharing_type,sharing_terms,monthly_mortgage_hkd,monthly_holding_hkd,monthly_outlay_hkd,initial_outlay_hkd,est_market_rent_hkd,npv_total_cost_buy_30y_hkd,npv_total_cost_rent_30y_hkd,npv_net_worth_buy_30y_hkd,npv_net_worth_rent_30y_hkd,buy_vs_rent_30y_hkd
3818275,2分鐘太子地鐵站 3房大廳連天台 超筍呎價 手慢無！！！,太子,唐樓/私人屋苑/單幢式大廈,2200000,460,3,1,,,,鴻發地產物業,https://i1.28hse.com/2026/04/202604211611246874315_thumb.jpg,https://www.28hse.com/buy/apartment/property-3818275,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:01:32.728721+00:00,基隆街40 Ji long,,九龍太子基隆街40 46,光猛開揚 連天台 房大廳大,,,,,,,,2026-07-03T23:28:20+08:00,2026-08-03T16:40:12+08:00,2026-09-01T23:28:20+08:00,"[""https://i1.28hse.com/2026/04/202604211611245627198_large.jpg"", ""https://i1.28hse.com/2026/04/202604211611252040511_large.jpg"", ""https://i1.28hse.com/2026/04/202604211611255439659_large.jpg"", ""https://i1.28hse.com/2026/04/20260421161126756739_large.jpg""]",,,7918,2712,10629,759000,4583,3297805,1623851,854515,3343889,-2489374
3883197,"唐1/F,近港鐵線，屯馬線，高鐵",佐敦,唐樓,2480000,480,3,3,,,,龍鳳地產公司,https://i1.28hse.com/2026/06/202606221008237490619_thumb.jpg,https://www.28hse.com/buy/apartment/property-3883197,2026-08-06T17:33:59.496264+00:00,2026-08-06T17:54:36.619891+00:00,佐敦唐樓 MONG KOK TONG LOU,,九龍佐敦佐敦唐樓 新填地街,"另加75呎平台,方正實用，有重建機會，步行10分鐘內到佐敦地鐵站，柯士甸站，西九龍高鐵站",,,,,,,,2026-06-09T13:11:05+08:00,2026-08-04T11:28:21+08:00,2026-08-08T13:11:05+08:00,"[""https://i1.28hse.com/2026/07/202607201351132867286_large.jpg"", ""https://i1.28hse.com/2026/07/202607201351141804027_large.jpg""]",,,8925,2883,11809,855600,5167,3656071,1830523,656823,3343889,-2687067
3900717,業主急售，還價即成，筍價唐4/F，约睇,深水埗,唐樓,2500000,577,3,1,中層,,,高盛地產,https://i1.28hse.com/2026/06/202606211842345486055_thumb.jpg,https://www.28hse.com/buy/apartment/property-3900717,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:14:20.701133+00:00,唐樓,,九龍深水埗唐樓 元州街46號,筍價唐4/F，约睇,,,,,,,,2026-06-21T18:42:47+08:00,2026-07-26T14:44:59+08:00,2026-08-20T18:42:47+08:00,"[""https://i1.28hse.com/2026/06/202606211842357873173_large.jpg"", ""https://i1.28hse.com/2026/06/202606211842354271802_large.jpg"", ""https://i1.28hse.com/2026/06/202606211842356470873_large.jpg""]",,,8997,3326,12323,862500,5208,3834034,1845285,347308,3343889,-2996581
3915075,中层市区收租3套唐楼,太子,唐樓,2530000,462,3,,中層,,,千億物業 太子分行,https://i1.28hse.com/2026/07/20260717082015941311_thumb.jpg,https://www.28hse.com/buy/apartment/property-3915075,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:01:34.697979+00:00,唐樓荔枝角道62號 62 Lai Chi Kok Road,,九龍太子唐樓荔枝角道62號 荔枝角道62號,"共收租15300
連約",,,,,,,,2026-07-03T01:29:03+08:00,2026-07-17T08:22:28+08:00,2026-09-01T01:29:03+08:00,"[""https://i1.28hse.com/2026/07/202607170820164338443_large.jpg"", ""https://i1.28hse.com/2026/07/202607170820174474075_large.jpg""]",,,9105,2817,11922,872850,5271,3685656,1867429,688194,3343889,-2655696
3882343,"小單邊,人流極多,1 分鐘地鐵站",旺角,唐樓,2550000,380,2,,,,,明威置業,/assets/img/loadingphoto170_125.jpg,https://www.28hse.com/buy/apartment/property-3882343,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:00:37.476673+00:00,西洋菜南街156號唐5字 Sai yeung Choi st 154-156,,九龍旺角西洋菜南街156號唐5字 西洋菜南街154-156號,"位置方便,少有放售",,,,,,,,2026-06-08T17:07:00+08:00,2026-06-26T08:14:43+08:00,2026-08-07T17:07:00+08:00,[],,,9177,2454,11631,879750,5312,3578234,1882191,931935,3343889,-2411954
3929243,獨家!收購重地!!! ! 快者得 ，大大間!!! 即約即睇 !!!,深水埗,唐樓/單幢式大廈,2580000,560,2,1,,,,宇晴地產,https://i1.28hse.com/2026/07/202607121545448637969_thumb.jpg,https://www.28hse.com/buy/apartment/property-3929243,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:13:21.318994+00:00,唐樓,,九龍深水埗唐樓 北河街131號,戴生 [REDACTED],,,,,,,,2026-07-12T15:45:47+08:00,2026-07-27T14:16:18+08:00,2026-09-10T15:45:47+08:00,"[""https://i1.28hse.com/2026/07/20260712154544185903_large.jpg"", ""https://i1.28hse.com/2026/07/202607121545455440630_large.jpg"", ""https://i1.28hse.com/2026/07/202607121545454714334_large.jpg"", ""https://i1.28hse.com/2026/07/202607121545466838246_large.jpg"", ""https://i1.28hse.com/2026/07/202607121545468614873_large.jpg"", ""https://i1.28hse.com/2026/07/202607121545463036921_large.jpg"", ""https://i1.28hse.com/2026/07/202607121545474485381_large.jpg""]",,,9285,3272,12558,890100,5375,3900182,1904334,361030,3343889,-2982859
3923396,*太子唐樓 一減再減 優惠尺價 鄰近太子站 交通方便*,太子,唐樓/單幢式大廈,2600000,462,3,3,中層,,,廣信地產顧問有限公司,https://i1.28hse.com/2026/07/202607081534474146003_thumb.jpg,https://www.28hse.com/buy/apartment/property-3923396,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:01:26.718539+00:00,唐樓,,九龍太子唐樓 荔枝角道62號,"**廣信地產多間分行為你服務：
-油麻地上海街383號地下A2舖
-旺角山東街24號地下B舖
-旺角渡船街323號地下2號舖
-大角咀埃華街70號地下1C2號舖",,,,,,,,2026-07-08T15:35:05+08:00,2026-07-28T15:38:46+08:00,2026-09-06T15:35:05+08:00,"[""https://i1.28hse.com/2026/07/202607081534483649252_large.jpg"", ""https://i1.28hse.com/2026/07/20260708153450928491_large.jpg"", ""https://i1.28hse.com/2026/07/202607081534512080417_large.jpg"", ""https://i1.28hse.com/2026/07/202607081534522269672_large.jpg""]",,,9357,2837,12195,897000,5417,3767251,1919097,654225,3343889,-2689665
3956243,*太子唐樓 一減再減 優惠尺價 鄰近太子站 交通方便*,太子,唐樓/單幢式大廈,2600000,462,3,3,中層,,,廣信地產顧問有限公司,https://i1.28hse.com/2026/08/202608021309036361247_thumb.jpg,https://www.28hse.com/buy/apartment/property-3956243,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:00:48.252200+00:00,唐樓,,九龍太子唐樓 荔枝角道62號,"*7厘以上回報
*三分鐘到太子站 
*三間套房 4F唐樓
**廣信地產多間分行為你服務：
-油麻地上海街383號地下A2舖
-旺角山東街24號地下B舖
-旺角渡船街323號地下2號舖
-大角咀埃華街70號地下1C2號舖",,,,,,,,2026-08-02T13:09:05+08:00,2026-08-02T13:09:05+08:00,2026-10-01T13:09:05+08:00,"[""https://i1.28hse.com/2026/08/202608021309035682713_large.jpg"", ""https://i1.28hse.com/2026/08/202608021309048580450_large.jpg"", ""https://i1.28hse.com/2026/08/202608021309044030809_large.jpg"", ""https://i1.28hse.com/2026/08/202608021309048221681_large.jpg""]",,,9357,2837,12195,897000,5417,3767251,1919097,654225,3343889,-2689665
3895219,"近太子站,交通方便,連租約15600元,投資收租,具重建價值.",太子,唐樓,2680000,462,3,3,,,,金豐物業,https://i1.28hse.com/2026/06/202606231320242769494_thumb.jpg,https://www.28hse.com/buy/apartment/property-3895219,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:01:54.734444+00:00,唐樓,,九龍太子唐樓 荔枝角道62-64號,"近太子站,交通方便,連租約15600元,投資收租,具重建價值.",,,,,,,,2026-06-17T16:44:54+08:00,2026-07-26T17:05:20+08:00,2026-08-16T16:44:54+08:00,"[""https://i1.28hse.com/2026/06/202606231320266560091_large.jpg"", ""https://i1.28hse.com/2026/06/202606231320288310558_large.jpg"", ""https://i1.28hse.com/2026/06/202606231320318453113_large.jpg"", ""https://i1.28hse.com/2026/06/20260623132033475645_large.jpg"", ""https://i1.28hse.com/2026/06/202606231320355944026_large.jpg"", ""https://i1.28hse.com/2026/06/202606231320378498409_large.jpg"", ""https://i1.28hse.com/2026/06/202606231320397691479_large.jpg""]",,,9645,2861,12506,924600,5583,3860502,1978146,615403,3343889,-2728487
3884091,唐樓-三套房380尺靚裝268萬,新蒲崗,唐樓,2680000,380,3,1,中層,,,嬌陽地產,https://i1.28hse.com/2026/06/20260609193823378366_thumb.jpg,https://www.28hse.com/buy/apartment/property-3884091,2026-08-06T17:33:59.496264+00:00,2026-08-06T18:17:13.367983+00:00,唐樓,,九龍新蒲崗唐樓 富源街,"新蒲崗
三套房靚裝
實用面積380尺
投資唐樓
售268萬
區內設施配套齊, 附近大型街市,小巴到名區.
交通方便,民生商店一應區全
歡迎約睇
TEL :- 
Whatapp:- 
Facebook 專頁 :- www.facebook.com/adda.chan.3
Instagram :- [REDACTED]
Youtube 頻道-嬌陽地產www.youtube.com/channel/UCpzfsDaMW8xxe8h2HIGr5dA
公司地址 : 新蒲崗仁愛街2 號仁愛大厦地下K3舖",22.335048999999998,114.19531199999999,,,,,,2026-06-09T19:38:24+08:00,2026-07-15T16:34:04+08:00,2026-08-08T19:38:24+08:00,"[""https://i1.28hse.com/2026/06/202606091938238434326_large.jpg"", ""https://i1.28hse.com/2026/06/202606091945156741230_large.jpg"", ""https://i1.28hse.com/2026/06/202606091945166455336_large.jpg"", ""https://i1.28hse.com/2026/06/20260609194517490852_large.jpg"", ""https://i1.28hse.com/2026/06/202606091945188062778_large.jpg"", ""https://i1.28hse.com/2026/06/202606091945201858756_large.jpg"", ""https://i1.28hse.com/2026/06/202606091938231228418_large.jpg"", ""https://i1.28hse.com/2026/06/202606091938247605044_large.jpg""]",,,9645,2492,12137,924600,5583,3729767,1978146,868850,3343889,-2475040
