listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,agency,image_url,url,fetched_at
3932506,香港大學 港大学生合租 水電網+清潔洗衣+额外宽敞24小時自習室 免佣11个月,上環,文景大廈,9500,466,3,2,,https://i1.28hse.com/2026/07/202607150936337394735_thumb.jpg,https://www.28hse.com/rent/apartment/property-3932506,2026-08-02T21:33:05.478720+00:00
3922832,【獨家VR/圖則】內外翻新 / 包傢電 / 近扶手梯,中環,伊利近街8-10號,17000,463,2,1,小村置業有限公司,https://i1.28hse.com/2026/07/202607081038412628163_thumb.jpg,https://www.28hse.com/rent/apartment/property-3922832,2026-08-02T21:33:05.478720+00:00
3922311,永生大厦｜永樂街｜兩房｜間格實用 l 開揚光猛 l 歡迎大學生,上環,永生大廈,15000,412,2,1,天立地產有限公司,https://i1.28hse.com/2026/07/202607201602575933179_thumb.jpg,https://www.28hse.com/rent/apartment/property-3922311,2026-08-02T21:33:05.478720+00:00
3068889,西營盤醫院路單間,西營盤,育賢樓,13500,656,1,1,,https://i1.28hse.com/2026/07/20260722062338584462_thumb.jpg,https://www.28hse.com/rent/apartment/property-3068889,2026-08-02T21:33:05.478720+00:00
3916427,【VR/圖則】行樓梯 / 近地鐵 / 天台,西營盤,西邊街8-10號,15500,425,2,1,小村置業有限公司,https://i1.28hse.com/2026/07/202607071222268035236_thumb.jpg,https://www.28hse.com/rent/apartment/property-3916427,2026-08-02T21:33:05.478720+00:00
3918401,超平租 歡迎大學生 雅裝2房 傢電齊 拎包入住 步行10分鐘至港大,石塘咀,再發大廈,17000,466,2,1,樂家物業有限公司,https://i1.28hse.com/2026/07/20260731025403702735_thumb.jpg,https://www.28hse.com/rent/apartment/property-3918401,2026-08-02T21:33:05.478720+00:00
3792770,"大坑區(行樓梯3F), 光猛多窗2房, 8分鐘可到天后或銅鑼灣",大坑,唐樓,14000,418,2,1,置業佳地產有限公司,https://i1.28hse.com/2026/03/202603311827102453804_thumb.jpg,https://www.28hse.com/rent/apartment/property-3792770,2026-08-02T21:33:05.478720+00:00
3932060,"(業主禁寵) 大坑區, 2房多窗, 企理裝修",大坑,唐樓,15500,418,2,1,置業佳地產有限公司,https://i1.28hse.com/2026/07/202607221438242444327_thumb.jpg,https://www.28hse.com/rent/apartment/property-3932060,2026-08-02T21:33:05.478720+00:00
3955479,何文田地鐵站想住大啲 又唔嫌係舊樓 呢個係最好嘅選擇 廳大房大,紅磡,蔚景樓,15000,415,2,1,富恒地產,https://i1.28hse.com/2026/08/202608011817534869750_thumb.jpg,https://www.28hse.com/rent/apartment/property-3955479,2026-08-02T21:33:05.478720+00:00
3802502,[租] 紅磡/黃埔 黃埔新村 2房1廳 大間抵住,紅磡,黃埔新村,16000,413,2,1,天富物業,https://i1.28hse.com/2026/08/202608011640006384766_thumb.jpg,https://www.28hse.com/rent/apartment/property-3802502,2026-08-02T21:33:05.478720+00:00
