listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,floor,kitchen_type,building_age_years,agency,image_url,url,fetched_at,enriched_at,estate,building_area_sqft,address,description,latitude,longitude,rent_includes,subletting,cooking_method,primary_school_net,secondary_school_net,published_at,updated_at,expires_at,image_urls
3932506,香港大學 港大学生合租 水電網+清潔洗衣+额外宽敞24小時自習室 免佣11个月,上環,私人屋苑,9500,466,3,2,高層,梗廚,41,,https://i1.28hse.com/2026/07/202607150936337394735_thumb.jpg,https://www.28hse.com/rent/apartment/property-3932506,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:46.288861+00:00,文景大廈,526,香港島上環文景大廈 文咸西街9-11號,"每個房間都有窗戶、獨立冷氣、床、書桌書架和衣櫃
共享范圍有客廳沙發餐桌鞋櫃廚房洗手間 
配備一個日常生活助手
交通方便 5分鐘步行 即可到上環地鐵站/西港城電車站/皇后道巴士站
距離香港大學10分鐘車程
價格已經水電網全包，並且包含定時有人日常清潔整理和洗衣
福利：港大自習室一位難求，可免費樓下共享業主寬大辦公室24小時自習，有打印機。
单间10500-9800全包价
學生整付11個月 免佣",22.286819,114.14923900000001,差餉地租､管理費 / 水電 / 煤氣,,,,,2026-07-16T12:12:01+08:00,2026-07-19T19:36:08+08:00,2026-08-15T12:12:01+08:00,"[""https://i1.28hse.com/2026/07/20260715093634400419_large.jpg"", ""https://i1.28hse.com/2026/07/202607150936353249857_large.jpg"", ""https://i1.28hse.com/2026/07/202607150936366902666_large.jpg"", ""https://i1.28hse.com/2026/07/202607150936377444968_large.jpg"", ""https://i1.28hse.com/2026/07/202607150936384599686_large.jpg"", ""https://i1.28hse.com/2026/07/202607161034366904860_large.jpg"", ""https://i1.28hse.com/2026/07/202607191934372358120_large.jpg"", ""https://i1.28hse.com/2026/07/202607191934395677384_large.jpg"", ""https://i1.28hse.com/2026/07/202607191934427654543_large.jpg"", ""https://i1.28hse.com/2026/07/202607191934454423166_large.jpg"", ""https://i1.28hse.com/2026/07/202607191934484439561_large.jpg"", ""https://i1.28hse.com/2026/07/202607191934501384788_large.jpg""]"
3922832,【獨家VR/圖則】內外翻新 / 包傢電 / 近扶手梯,中環,單幢式大廈,17000,463,2,1,低層,梗廚,,小村置業有限公司,https://i1.28hse.com/2026/07/202607081038412628163_thumb.jpg,https://www.28hse.com/rent/apartment/property-3922832,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:47.220713+00:00,伊利近街8-10號,,香港島中環伊利近街8-10號 伊利近街8-10號,"獨家VR影片及單位圖則能讓您安坐在家中，也可了解每間房間的呎寸。 
　
這個單位位於繁華的中環地區，與大館、PMQ、Soho區近在咫尺，鄰近熱門的娛樂區蘭桂芳。高標準的現代裝修，寬敞的客廳和臥室，讓您能輕鬆佈置家具，大窗戶帶來自然光線和新鮮空氣。
　
行樓梯，獨立住宅單位，非商業契。
　　
我們的代理住在這區，熟悉附近社區環境，歡迎預約並在您方便的時候和您一起參觀這個漂亮的單位。
　
專業物管公司統一管理，乾淨企理，省卻漏水/滲水/噪音煩惱，無後顧之憂。
　
尚有其他單位（開放式、中層、高層）選擇，可安排一次過參觀，有議價空間，歡迎查詢。
　
地租、差餉、管理費全包。
　
 | 網上搵樓盤 | VR睇樓 | 5星好評 | 一站式租務管理 |
小村置業：www.omuraproperty.com
Facebook：www.facebook.com/omuraproperty",22.282818,114.152603,差餉地租､管理費,,明火煮食,,,2026-07-08T10:38:49+08:00,2026-07-24T16:25:12+08:00,2026-08-07T10:38:49+08:00,"[""https://i1.28hse.com/2026/07/202607081038413759556_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038426599300_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038422222492_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038423604327_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038421559178_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038432566565_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038438132926_large.jpg"", ""https://i1.28hse.com/2026/07/20260708103844817838_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038445229301_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038442840032_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038443080210_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038454803277_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038457563194_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038453303768_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038461738381_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038464737725_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038464229455_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038471536988_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038472112087_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038477036535_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038488478911_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038488304967_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038485152722_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038484056359_large.jpg"", ""https://i1.28hse.com/2026/07/202607081038412628163_large.jpg""]"
3922311,永生大厦｜永樂街｜兩房｜間格實用 l 開揚光猛 l 歡迎大學生,上環,私人屋苑/單幢式大廈,15000,490,2,1,低層,開放式廚房,35,天立地產有限公司,https://i1.28hse.com/2026/07/202607201602575933179_thumb.jpg,https://www.28hse.com/rent/apartment/property-3922311,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:47.974073+00:00,金裕大廈,657,香港島上環金裕大廈 甘雨街8號,"如果您有興趣，請記下*參考編號*
我們可以安排時間查看。
如果您想更新您的要求，請隨時告訴我們。
=============================
一房單位
https://docs.google.com/spreadsheets/d/1RFGv9ukpdIFWpXmzRIKwNoOic8kxT4eAGPUYxMI8xsQ/edit?usp=sharing
=============================
兩房單位
https://docs.google.com/spreadsheets/d/1hZAAlfW-SrcyqL8eLk3eOc4NiV7jPczPQxWCBv_a80w/edit?usp=sharing
=============================
如果您有興趣，請記下*參考編號*
我們可以安排時間查看。
如果您想更新您的要求，請隨時告訴我們。",22.286583,114.146141,差餉地租､管理費,,,,,2026-07-07T17:48:57+08:00,2026-08-04T10:35:29+08:00,2026-08-06T17:48:57+08:00,"[""https://i1.28hse.com/2026/08/202608041032131898962_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032092393171_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032096073335_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032098910381_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032106647477_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032102264036_large.jpg"", ""https://i1.28hse.com/2026/08/20260804103210312717_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032112947091_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032114963575_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032084218892_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032118360385_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032126713114_large.jpg"", ""https://i1.28hse.com/2026/08/202608041032127044370_large.jpg"", ""https://i1.28hse.com/estate_data/18/728/FLOOR/728_20260129155215293247_thumb.jpg"", ""https://i1.28hse.com/estate_data/18/728/UNIT/728_20260129155218671858_thumb.jpg""]"
3068889,西營盤醫院路單間,西營盤,私人屋苑/分租/短租/全年預繳租金9折,13500,95,1,1,低層,,61,,https://i1.28hse.com/2026/07/20260722062338584462_thumb.jpg,https://www.28hse.com/rent/apartment/property-3068889,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:48.755704+00:00,第一大廈,752,香港島西半山第一大廈 羅便臣道102-108號,"線上預訂享10%折扣！
 ️ 95平方英尺 / 8.8平方米
️ 附家具和完整工作空間的房間
️ 安靜、舒適、實用
️只要1個月訂金
全部包含：
 • 無線網路、水、瓦斯和電力
• 公寓維護
• 租戶支持
• 每週一次的公共區域清潔
• 床單和毛巾
家具齊全的公寓：
臥室：小型雙人床、衣櫃、書桌椅、床頭櫃、窗簾、羽絨被、枕頭、床單、床墊保護套、延長線
客廳：餐桌配4張椅子，沙發
廚房：洗衣機（無烘乾機）、冰箱、電爐
浴室：共用，配有置物架、地毯、水桶套裝和馬桶刷。
步行即可到達：
 • 步行 3 分鐘即可到達 Robinson Road 的超市（Marketplace / Fusion）
 • 步行 16 分鐘即可抵達半山扶梯（可通往蘇豪區和中環）
步行 5 分鐘即可抵達咖啡館、麵包店、藥局和當地商店。
 • 步行 8 分鐘即可到達山頂纜車步行路線（舊山頂道入口）
 • 步行12分鐘即可下坡到達蘇豪區/凱恩路/伊爾金街的餐飲場所
• 靠近康杜伊特路沿線的綠地和遠足步道
駕車/公共交通範圍內：
 • 距離中央區僅 6 分鐘路程
• 10分鐘即可到達海軍部
• 12分鐘即可抵達灣仔
• 15分鐘即可到達山頂
• 距離淺水灣海灘僅25分鐘車程
交通設施：
 • 半山扶梯：步行 5 分鐘
• 巴士：羅賓遜道與乾德道路線（直達中環、金鐘、北角）
 • 小巴：頻繁往返中環和銅鑼灣
• 計程車：沿著羅賓遜路很容易找到
付款條款：
第一個月的租金
可退還押金，金額相當於一個月租金。
一次性服務費，金額相當於一個月租金的30%，入住時支付。",22.282778,114.142052,管理費 / 水電 / 煤氣,放盤人提供全年預繳租金優惠,,,,2026-07-17T16:48:37+08:00,2026-08-04T17:15:20+08:00,2026-08-16T16:48:37+08:00,"[""https://i1.28hse.com/2026/08/202608041713517494444_large.jpg"", ""https://i1.28hse.com/2026/08/20260804171354651884_large.jpg"", ""https://i1.28hse.com/2026/08/202608041713563304096_large.jpg"", ""https://i1.28hse.com/2026/08/202608041713578544559_large.jpg"", ""https://i1.28hse.com/2026/08/202608041713598959799_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714025419510_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714046311884_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714061368506_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714092778854_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714203876746_large.jpg"", ""https://i1.28hse.com/2026/07/202607010625334133540_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714225549551_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714242425793_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714261804770_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714287456572_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714306320720_large.jpg"", ""https://i1.28hse.com/2026/08/20260804171433565461_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714355089740_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714378948472_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714392678824_large.jpg"", ""https://i1.28hse.com/2026/08/202608041714424185658_large.jpg""]"
3792770,"大坑區(行樓梯3F), 光猛多窗2房, 8分鐘可到天后或銅鑼灣",大坑,唐樓,14000,418,2,1,,梗廚,,置業佳地產有限公司,https://i1.28hse.com/2026/03/202603311827102453804_thumb.jpg,https://www.28hse.com/rent/apartment/property-3792770,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:52.053973+00:00,唐樓,,香港島大坑唐樓 銅鑼灣道,"大坑區(行樓梯3F), 光猛多窗2房, 8分鐘可到天后或銅鑼灣",,,差餉地租,,,,,2026-07-31T11:36:56+08:00,2026-07-31T11:36:56+08:00,2026-08-30T11:36:56+08:00,"[""https://i1.28hse.com/2026/03/202603311827106824480_large.jpg"", ""https://i1.28hse.com/2026/04/202604241525301459418_large.jpg"", ""https://i1.28hse.com/2026/04/202604241526416544784_large.jpg"", ""https://i1.28hse.com/2026/06/202606281524458632405_large.jpg"", ""https://i1.28hse.com/2026/06/2026062815252145379_large.jpg"", ""https://i1.28hse.com/2026/06/202606281525373143169_large.jpg"", ""https://i1.28hse.com/2026/06/202606281526135271448_large.jpg"", ""https://i1.28hse.com/2026/06/202606281526355386912_large.jpg"", ""https://i1.28hse.com/2026/06/202606281526471453805_large.jpg"", ""https://i1.28hse.com/2026/06/202606281527096384279_large.jpg"", ""https://i1.28hse.com/2026/06/20260628152721250792_large.jpg"", ""https://i1.28hse.com/2026/06/202606281527342046928_large.jpg"", ""https://i1.28hse.com/2026/06/202606281527425610816_large.jpg""]"
3932060,"(業主禁寵) 大坑區, 2房多窗, 企理裝修",大坑,唐樓,15500,418,2,1,,,,置業佳地產有限公司,https://i1.28hse.com/2026/07/202607221438242444327_thumb.jpg,https://www.28hse.com/rent/apartment/property-3932060,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:52.945587+00:00,唐樓,,香港島大坑唐樓 唐樓,"(業主禁寵) 大坑區，2房多窗, 企理裝修",,,差餉地租､管理費,,,,,2026-07-14T17:52:57+08:00,2026-07-23T16:46:36+08:00,2026-08-13T17:52:57+08:00,"[""https://i1.28hse.com/2026/07/202607221438418652293_large.jpg"", ""https://i1.28hse.com/2026/07/20260722143849836150_large.jpg"", ""https://i1.28hse.com/2026/07/202607231645495472492_large.jpg"", ""https://i1.28hse.com/2026/07/202607231646103556120_large.jpg"", ""https://i1.28hse.com/2026/07/20260723164625827025_large.jpg""]"
3955479,何文田地鐵站想住大啲 又唔嫌係舊樓 呢個係最好嘅選擇 廳大房大,紅磡,私人屋苑/洋樓/單幢式大廈,15000,376,2,1,中層,梗廚,53,富恒地產,https://i1.28hse.com/2026/08/202608011817534869750_thumb.jpg,https://www.28hse.com/rent/apartment/property-3955479,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:53.716181+00:00,興華大廈,380,九龍紅磡興華大廈 蕪湖街157-171號,"罕有放盤
平租, 只求好租客
歡迎約睇",22.308163,114.184181,差餉地租､管理費,,明火煮食,,,2026-08-01T18:17:55+08:00,2026-08-03T12:01:03+08:00,2026-08-31T18:17:55+08:00,"[""https://i1.28hse.com/2026/08/20260803120053108933_large.jpg"", ""https://i1.28hse.com/2026/08/202608031200533996529_large.jpg"", ""https://i1.28hse.com/2026/08/202608031200534909272_large.jpg"", ""https://i1.28hse.com/2026/08/20260803120054750390_large.jpg"", ""https://i1.28hse.com/2026/08/202608031200546707316_large.jpg"", ""https://i1.28hse.com/2026/08/202608031200546040501_large.jpg"", ""https://i1.28hse.com/2026/08/202608031200556607970_large.jpg"", ""https://i1.28hse.com/2026/08/202608031200556040573_large.jpg""]"
3802502,[租] 紅磡/黃埔 黃埔新村 2房1廳 大間抵住,紅磡,私人屋苑/成都物業,16000,413,2,1,低層,,49,天富物業,https://i1.28hse.com/2026/08/202608011640006384766_thumb.jpg,https://www.28hse.com/rent/apartment/property-3802502,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:54.613772+00:00,黃埔新村,550,九龍紅磡黃埔新村 民泰街39號,"約睇
有興趣請致電/WHATSAPP/WECHAT
 ANNIE 楊小姐/
 ELAINE 曾小姐
**另尚有多間黃埔/紅磡/土瓜灣單位套房出租出售, 歡迎查詢",22.30658,114.187431,,,,,,2026-07-09T16:54:40+08:00,2026-08-01T16:40:32+08:00,2026-08-08T16:54:40+08:00,"[""https://i1.28hse.com/2026/08/202608011640015916550_large.jpg"", ""https://i1.28hse.com/2026/08/202608011640015188646_large.jpg"", ""https://i1.28hse.com/2026/08/202608011640022430766_large.jpg"", ""https://i1.28hse.com/2026/08/20260801164002660097_large.jpg"", ""https://i1.28hse.com/2026/08/202608011640032179845_large.jpg"", ""https://i1.28hse.com/2026/08/202608011640036318454_large.jpg""]"
3952421,"唐樓4/F 三大房,三分鐘到土瓜灣站",紅磡,唐樓,12800,683,3,1,中層,梗廚,,錦隆物業代理,https://i1.28hse.com/2026/08/202608011919296268853_thumb.jpg,https://www.28hse.com/rent/apartment/property-3952421,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:55.381581+00:00,漆馬大廈,,九龍紅磡漆馬大廈 馬頭圍道212號,歡迎查詢或預約睇樓,22.313341,114.187584,差餉地租､管理費,,,,,2026-07-30T16:27:29+08:00,2026-08-01T19:20:08+08:00,2026-08-29T16:27:29+08:00,"[""https://i1.28hse.com/2026/08/202608011919311488911_large.jpg"", ""https://i1.28hse.com/2026/08/20260801191935305255_large.jpg"", ""https://i1.28hse.com/2026/08/202608011919376573300_large.jpg"", ""https://i1.28hse.com/2026/08/202608011919392834912_large.jpg"", ""https://i1.28hse.com/2026/08/202608011919438784959_large.jpg"", ""https://i1.28hse.com/2026/08/20260801191948106478_large.jpg"", ""https://i1.28hse.com/2026/08/202608011919523267351_large.jpg"", ""https://i1.28hse.com/2026/08/202608011919565217033_large.jpg"", ""https://i1.28hse.com/2026/08/202608011920007409810_large.jpg""]"
3931521,[蔚景樓] 何文田地鐵站旁，交通便利，大大間2房，住得舒適,紅磡,洋樓/單幢式大廈/私人屋苑,15000,415,2,1,低層,,51,富恒地產,https://i1.28hse.com/2026/07/202607291743173628095_thumb.jpg,https://www.28hse.com/rent/apartment/property-3931521,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:30:56.155227+00:00,蔚景樓,,九龍紅磡蔚景樓 漆咸道北275號,"蔚景樓  物業名稱: 蔚景樓 WEI KING BUILDING 
地區: 何文田 
區域: 九龍 
地址/地段: 漆咸道北275號 
物業座數: 1座 
物業層數: 20層 * 不包括地下及1-5樓 
單位總數: 160伙 
入伙日期: 1975年8月5日 
物業校網: 鄰近幼稚園九龍城; 小學34網; 中學九龍城 
停車場: 有 
免責聲明: 本宣傳資料只可作宣傳及推廣二手住宅物業之用及只供參考，而並非及不可用作宣傳推廣任何一手住宅物業，其準確性及真實性以樓盤發展商提供的資料為準。",22.309568,114.18363199999999,差餉地租､管理費,,,,,2026-07-14T14:19:47+08:00,2026-07-29T17:44:22+08:00,2026-08-13T14:19:47+08:00,"[""https://i1.28hse.com/2026/07/202607291743197114905_large.jpg"", ""https://i1.28hse.com/2026/07/202607291743206394520_large.jpg"", ""https://i1.28hse.com/2026/07/202607291743223065407_large.jpg"", ""https://i1.28hse.com/2026/07/202607291743242702096_large.jpg"", ""https://i1.28hse.com/2026/07/202607291743257242233_large.jpg"", ""https://i1.28hse.com/2026/07/20260729174326421432_large.jpg"", ""https://i1.28hse.com/2026/07/202607291743282863125_large.jpg"", ""https://i1.28hse.com/2026/07/202607291743295192603_large.jpg""]"
