listing_id,title,district,property_type,price_hkd,usable_area_sqft,bedrooms,bathrooms,floor,kitchen_type,building_age_years,agency,image_url,url,fetched_at,enriched_at,estate,building_area_sqft,address,description,latitude,longitude,rent_includes,subletting,cooking_method,primary_school_net,secondary_school_net,published_at,updated_at,expires_at,image_urls,sharing_type,sharing_terms
3913408,"靚裝東南向,望牛棚藝朮館,獨家有匙引見",土瓜灣,唐樓,8500,380,2,1,中層,,,富榮物業有限公司,https://i1.28hse.com/2026/07/202607131810492576614_thumb.jpg,https://www.28hse.com/rent/apartment/property-3913408,2026-08-06T15:05:58.396624+00:00,2026-08-06T15:07:12.602331+00:00,十三街,,九龍土瓜灣十三街 鳳儀街1號,"34名校网,交通方便,",,,差餉地租､管理費,,,,,2026-08-01T12:16:46+08:00,2026-08-01T12:16:46+08:00,2026-08-31T12:16:46+08:00,"[""https://i1.28hse.com/2026/07/202607131810508860699_large.jpg"", ""https://i1.28hse.com/2026/07/202607131810482184686_large.jpg"", ""https://i1.28hse.com/2026/07/20260713181049984677_large.jpg"", ""https://i1.28hse.com/2026/07/202607131810494861745_large.jpg"", ""https://i1.28hse.com/2026/07/202607131810486183654_large.jpg"", ""https://i1.28hse.com/2026/07/202607131810496409189_large.jpg"", ""https://i1.28hse.com/2026/07/202607011933142143992_large.jpg""]",whole,
3849526,✭城南道✭兩房大廳✭,九龍城,唐樓,9900,381,2,1,高層,,,滙昇置業,https://i1.28hse.com/2026/07/202607131248373047484_thumb.jpg,https://www.28hse.com/rent/apartment/property-3849526,2026-08-06T15:05:58.396624+00:00,2026-08-06T15:07:10.282388+00:00,唐樓,,九龍九龍城唐樓 /,"41名校網。唐6F 。兩房大廳。一閃即逝。
→有興趣請提供閣下聯絡電話/租住人數/職業証明/起租日期, 以便安排睇樓。謝謝←
另有大量41,34 名校綱筍盤/各區樓盤查詢
請電或Whatsapp
↑　　↑
此單位有相:立即Whatapp 睇相",,,,,,,,2026-07-18T01:55:27+08:00,2026-07-21T15:35:04+08:00,2026-08-17T01:55:27+08:00,"[""https://i1.28hse.com/2026/07/202607131247392909552_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247408764119_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247402669023_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247416171904_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247416865587_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247426429183_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247432982555_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247445245058_large.jpg"", ""https://i1.28hse.com/2026/07/202607131247445594450_large.jpg""]",whole,
3935247,三房大廳 唐5樓 近地鐵站 多窗,深水埗,唐樓,10000,407,3,1,高層,,,恒龍地產,https://i1.28hse.com/2026/07/202607211921401653338_thumb.jpg,https://www.28hse.com/rent/apartment/property-3935247,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:34:07.646980+00:00,唐樓,,九龍深水埗唐樓 鴨寮街,歡迎約睇,,,差餉地租､管理費,,,,,2026-07-17T11:56:34+08:00,2026-07-29T15:39:40+08:00,2026-08-16T11:56:34+08:00,"[""https://i1.28hse.com/2026/07/20260721192140588145_large.jpg"", ""https://i1.28hse.com/2026/07/202607211921415368711_large.jpg"", ""https://i1.28hse.com/2026/07/202607211921422456481_large.jpg"", ""https://i1.28hse.com/2026/07/202607211921421064280_large.jpg"", ""https://i1.28hse.com/2026/07/202607211921438044313_large.jpg"", ""https://i1.28hse.com/2026/07/202607211921444798228_large.jpg""]",whole,
3734028,"長沙灣兩房一廳筍盤, 地點交通便利!",長沙灣,唐樓/單幢式大廈,10500,400,2,1,,開放式廚房,,奧思房產,https://i1.28hse.com/2026/08/202608041624082670667_thumb.jpg,https://www.28hse.com/rent/apartment/property-3734028,2026-08-05T20:41:00.873779+00:00,2026-08-05T21:37:14.417768+00:00,青山道 282 Castle Peak 282,,九龍長沙灣青山道 282 青山道 282,"Sparrow Home 所有房間設備：
• 專業維護
• 熱水淋浴室
• 冷氣
更多細節：
•按金：兩按一上
https://owl2lite.com/",,,差餉地租､管理費,,,,,2026-07-15T16:39:11+08:00,2026-08-04T16:51:04+08:00,2026-08-14T16:39:11+08:00,"[""https://i1.28hse.com/2026/08/202608041624096634461_large.jpg"", ""https://i1.28hse.com/2026/08/202608041624111974400_large.jpg"", ""https://i1.28hse.com/2026/08/202608041624101991984_large.jpg""]",ambiguous,兩房一廳
3944093,"全新裝修,交通方便,生活配套,衣食住行,合家庭及學生",深水埗,唐樓/全年預繳租金95折,10800,510,2,2,,,,金豐物業,https://i1.28hse.com/2026/07/202607251702007485463_thumb.jpg,https://www.28hse.com/rent/apartment/property-3944093,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:34:03.620307+00:00,大安樓,,九龍深水埗大安樓 荔枝角道195-201號,"全新裝修,交通方便,生活配套,衣食住行,合家庭及學生,二房二廳,",22.322147000000005,114.16517600000002,差餉地租､管理費,放盤人提供全年預繳租金優惠,,,,2026-07-23T20:25:03+08:00,2026-08-01T17:18:47+08:00,2026-08-22T20:25:03+08:00,"[""https://i1.28hse.com/2026/07/202607251702022102379_large.jpg"", ""https://i1.28hse.com/2026/07/202607251702036553759_large.jpg"", ""https://i1.28hse.com/2026/07/202607251702066902270_large.jpg"", ""https://i1.28hse.com/2026/07/202607251702084525395_large.jpg"", ""https://i1.28hse.com/2026/07/20260725170210538858_large.jpg"", ""https://i1.28hse.com/2026/07/202607251702118664464_large.jpg"", ""https://i1.28hse.com/2026/07/202607251702133166345_large.jpg"", ""https://i1.28hse.com/2026/07/202607251702153844712_large.jpg""]",ambiguous,二房二廳
3928360,電梯2房1廳41校網,九龍城,洋樓/全年預繳租金95折,11300,380,2,1,中層,,,天申置業,https://i1.28hse.com/2026/07/202607121410425426022_thumb.jpg,https://www.28hse.com/rent/apartment/property-3928360,2026-08-06T15:05:58.396624+00:00,2026-08-06T15:07:11.656474+00:00,單幢樓房,,九龍九龍城單幢樓房 啟德道,"只求好租客,宋皇台站南角道出口7分鍾
企理裝修, 開揚 高實用率",22.3298304,114.1919831,差餉地租､管理費,放盤人提供全年預繳租金優惠,,,,2026-07-11T17:59:06+08:00,2026-07-25T14:31:04+08:00,2026-08-10T17:59:06+08:00,"[""https://i1.28hse.com/2026/07/202607121404485821821_large.jpg"", ""https://i1.28hse.com/2026/07/20260712140450143657_large.jpg"", ""https://i1.28hse.com/2026/07/202607121405315194433_large.jpg"", ""https://i1.28hse.com/2026/07/202607121407102350332_large.jpg"", ""https://i1.28hse.com/2026/07/202607121407148902787_large.jpg""]",ambiguous,2房1廳
3889060,九龍城41名校網罕有兩房獨立單位連天台，家電齊備，配套方便，機會難逢。,九龍城,唐樓/單幢式大廈,12500,361,2,1,高層,開放式廚房,,專業地產代理公司,https://i1.28hse.com/2026/08/202608061748544282484_thumb.jpg,https://www.28hse.com/rent/apartment/property-3889060,2026-08-06T15:05:58.396624+00:00,2026-08-06T15:07:10.980750+00:00,單幢樓房,,九龍九龍城單幢樓房 聯合道,九龍城41名校網罕有兩房獨立單位連天台，家電齊備，配套方便，機會難逢。,22.32321,114.185547,差餉地租､管理費,,,,,2026-07-13T15:53:24+08:00,2026-08-06T17:50:07+08:00,2026-08-12T15:53:24+08:00,"[""https://i1.28hse.com/2026/08/202608061040161480899_large.jpg"", ""https://i1.28hse.com/2026/08/202608061040211611319_large.jpg"", ""https://i1.28hse.com/2026/08/202608061040193768228_large.jpg"", ""https://i1.28hse.com/2026/08/202608061040207431368_large.jpg"", ""https://i1.28hse.com/2026/08/202608061040227319016_large.jpg"", ""https://i1.28hse.com/2026/08/202608061040221585551_large.jpg"", ""https://i1.28hse.com/2026/08/202608061040237436274_large.jpg"", ""https://i1.28hse.com/2026/08/202608061040163606104_large.jpg"", ""https://i1.28hse.com/2026/08/202608061057392631383_large.jpg""]",whole,獨立單位
3702132,《實盤》全新裝修，新冷氣，只求好客 41網,九龍城,唐樓,12800,420,2,1,中層,,,宏基地產(九龍城)有限公司,https://i1.28hse.com/2026/05/202605291730421358549_thumb.jpg,https://www.28hse.com/rent/apartment/property-3702132,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:34:35.037334+00:00,唐樓,,九龍九龍城唐樓 -,"宋王臺站5分鐘
計時5分鐘
鄰近超市",,,差餉地租､管理費,,,,,2026-07-11T14:38:23+08:00,2026-07-11T14:38:45+08:00,2026-08-10T14:38:23+08:00,"[""https://i1.28hse.com/2026/05/202605291730473707194_large.jpg"", ""https://i1.28hse.com/2026/05/202605291732417875512_large.jpg"", ""https://i1.28hse.com/2026/05/202605291732463213038_large.jpg"", ""https://i1.28hse.com/2026/05/202605291732516105158_large.jpg"", ""https://i1.28hse.com/2026/05/20260529173256565767_large.jpg"", ""https://i1.28hse.com/2026/05/202605291733008009598_large.jpg""]",whole,
3924244,✭侯王道✭兩房大廳✭連天台,九龍城,唐樓,13000,400,2,1,高層,,,滙昇置業,https://i1.28hse.com/2026/07/202607090014562078093_thumb.jpg,https://www.28hse.com/rent/apartment/property-3924244,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:34:31.292996+00:00,唐樓,,九龍九龍城唐樓 /,"41名校網。唐5F ，兩房大廳,連天台. 一閃即逝。
→有興趣請提供閣下聯絡電話/租住人數/職業証明/起租日期, 以便安排睇樓。謝謝←
另有大量41,34 名校綱筍盤/各區樓盤查詢
請電或Whatsapp
↑　　↑
此單位有相:立即Whatapp 睇相",,,,,,,,2026-07-09T00:13:49+08:00,2026-08-02T03:04:20+08:00,2026-08-08T00:13:49+08:00,"[""https://i1.28hse.com/2026/07/202607090013054224469_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013073792790_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013098093815_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013111189502_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013138287953_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013151396126_large.jpg"", ""https://i1.28hse.com/2026/07/2026070900131795024_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013192343620_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013213931971_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013242977622_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013268038740_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013288780498_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013308758040_large.jpg"", ""https://i1.28hse.com/2026/07/202607090013328445910_large.jpg""]",whole,
3925783,"《✿獨立單位✿》近地鐵站,唐樓雅裝三房兩廳單位",旺角,唐樓/單幢式大廈,13000,515,3,1,,,,堅旺地產有限公司,https://i1.28hse.com/2026/07/20260724022814264615_thumb.jpg,https://www.28hse.com/rent/apartment/property-3925783,2026-08-02T21:33:05.478720+00:00,2026-08-05T21:32:31.036696+00:00,唐樓,,九龍旺角唐樓 唐樓,"***盤源不能盡錄～歡迎Whatsapp查詢***
♡小紅書認証號:堅旺地產♡
完善管理 出入安心保障
單位雅裝 企理 一搬即用
鄰近地鐵站 交通便利",,,差餉地租､管理費,,,,,2026-07-10T00:11:03+08:00,2026-08-03T23:14:05+08:00,2026-08-09T00:11:03+08:00,"[""https://i1.28hse.com/2026/07/202607240228121449265_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228151182161_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228187838976_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228175663871_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228202686285_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228161274111_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228197483009_large.jpg"", ""https://i1.28hse.com/2026/07/20260724022816197576_large.jpg"", ""https://i1.28hse.com/2026/07/20260724022820599591_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228213848427_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228226687545_large.jpg"", ""https://i1.28hse.com/2026/07/20260724022824737232_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228236422167_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228267015392_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228277995951_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228304343262_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228282090358_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228314861965_large.jpg"", ""https://i1.28hse.com/2026/07/20260724022832556045_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228334512328_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228345298111_large.jpg"", ""https://i1.28hse.com/2026/07/20260724022834309065_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228046479801_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228027138006_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228061928368_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228077764432_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228096382221_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228106159632_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228298018828_large.jpg"", ""https://i1.28hse.com/2026/07/202607240228256408257_large.jpg""]",whole,獨立單位
